psi1= 334.9465603322478	psi2= 357.3393028469002	psi3= 375.144183068755	psi4= 357.60715731032894	psi5= 407.42485927784406	psi6= 399.4988118162587	psi7= 375.21561022297203	psi8= 399.5166684498074	psi9= 385.688432939535	
psi1= 335.9465603322478	psi2= 358.3393028469002	psi3= 376.144183068755	psi4= 358.60715731032894	psi5= 408.42485927784406	psi6= 400.4988118162587	psi7= 376.21561022297203	psi8= 400.5166684498074	psi9= 386.688432939535	
psi1= 336.9465603322478	psi2= 359.3393028469002	psi3= 377.144183068755	psi4= 359.60715731032894	psi5= 409.42485927784406	psi6= 401.4988118162587	psi7= 377.21561022297203	psi8= 401.5166684498074	psi9= 387.688432939535	
psi1= 337.9465603322478	psi2= 360.3393028469002	psi3= 378.144183068755	psi4= 360.60715731032894	psi5= 410.42485927784406	psi6= 402.4988118162587	psi7= 378.21561022297203	psi8= 402.5166684498074	psi9= 388.688432939535	
psi1= 338.9465603322478	psi2= 361.3393028469002	psi3= 379.144183068755	psi4= 361.60715731032894	psi5= 411.42485927784406	psi6= 403.4988118162587	psi7= 379.21561022297203	psi8= 403.5166684498074	psi9= 389.688432939535	
psi1= 339.9465603322478	psi2= 362.3393028469002	psi3= 380.144183068755	psi4= 362.60715731032894	psi5= 412.42485927784406	psi6= 404.4988118162587	psi7= 380.21561022297203	psi8= 404.5166684498074	psi9= 390.688432939535	
psi1= 340.9465603322478	psi2= 363.3393028469002	psi3= 381.144183068755	psi4= 363.60715731032894	psi5= 413.42485927784406	psi6= 405.4988118162587	psi7= 381.21561022297203	psi8= 405.5166684498074	psi9= 391.688432939535	
psi1= 341.9465603322478	psi2= 364.3393028469002	psi3= 382.144183068755	psi4= 364.60715731032894	psi5= 414.42485927784406	psi6= 406.4988118162587	psi7= 382.21561022297203	psi8= 406.5166684498074	psi9= 392.688432939535	
psi1= 342.9465603322478	psi2= 365.3393028469002	psi3= 383.144183068755	psi4= 365.60715731032894	psi5= 415.42485927784406	psi6= 407.4988118162587	psi7= 383.21561022297203	psi8= 407.5166684498074	psi9= 393.688432939535	
psi1= 343.9465603322478	psi2= 366.3393028469002	psi3= 384.144183068755	psi4= 366.60715731032894	psi5= 416.42485927784406	psi6= 408.4988118162587	psi7= 384.21561022297203	psi8= 408.5166684498074	psi9= 394.688432939535	
psi1= 344.9465603322478	psi2= 367.3393028469002	psi3= 385.144183068755	psi4= 367.60715731032894	psi5= 417.42485927784406	psi6= 409.4988118162587	psi7= 385.21561022297203	psi8= 409.5166684498074	psi9= 395.688432939535	
psi1= 345.9465603322478	psi2= 368.3393028469002	psi3= 386.144183068755	psi4= 368.60715731032894	psi5= 418.42485927784406	psi6= 410.4988118162587	psi7= 386.21561022297203	psi8= 410.5166684498074	psi9= 396.688432939535	
psi1= 346.9465603322478	psi2= 369.3393028469002	psi3= 387.144183068755	psi4= 369.60715731032894	psi5= 419.42485927784406	psi6= 411.4988118162587	psi7= 387.21561022297203	psi8= 411.5166684498074	psi9= 397.688432939535	
psi1= 347.9465603322478	psi2= 370.3393028469002	psi3= 388.144183068755	psi4= 370.60715731032894	psi5= 420.42485927784406	psi6= 412.4988118162587	psi7= 388.21561022297203	psi8= 412.5166684498074	psi9= 398.688432939535	
psi1= 348.9465603322478	psi2= 371.3393028469002	psi3= 389.144183068755	psi4= 371.60715731032894	psi5= 421.42485927784406	psi6= 413.4988118162587	psi7= 389.21561022297203	psi8= 413.5166684498074	psi9= 399.688432939535	
psi1= 349.9465603322478	psi2= 372.3393028469002	psi3= 390.144183068755	psi4= 372.60715731032894	psi5= 422.42485927784406	psi6= 414.4988118162587	psi7= 390.21561022297203	psi8= 414.5166684498074	psi9= 400.688432939535	
psi1= 350.9465603322478	psi2= 373.3393028469002	psi3= 391.144183068755	psi4= 373.60715731032894	psi5= 423.42485927784406	psi6= 415.4988118162587	psi7= 391.21561022297203	psi8= 415.5166684498074	psi9= 401.688432939535	
psi1= 351.9465603322478	psi2= 374.3393028469002	psi3= 392.144183068755	psi4= 374.60715731032894	psi5= 424.42485927784406	psi6= 416.4988118162587	psi7= 392.21561022297203	psi8= 416.5166684498074	psi9= 402.688432939535	
psi1= 352.9465603322478	psi2= 375.3393028469002	psi3= 393.144183068755	psi4= 375.60715731032894	psi5= 425.42485927784406	psi6= 417.4988118162587	psi7= 393.21561022297203	psi8= 417.5166684498074	psi9= 403.688432939535	
psi1= 353.9465603322478	psi2= 376.3393028469002	psi3= 394.144183068755	psi4= 376.60715731032894	psi5= 426.42485927784406	psi6= 418.4988118162587	psi7= 394.21561022297203	psi8= 418.5166684498074	psi9= 404.688432939535	
psi1= 354.9465603322478	psi2= 377.3393028469002	psi3= 395.144183068755	psi4= 377.60715731032894	psi5= 427.42485927784406	psi6= 419.4988118162587	psi7= 395.21561022297203	psi8= 419.5166684498074	psi9= 405.688432939535	
psi1= 355.9465603322478	psi2= 378.3393028469002	psi3= 396.144183068755	psi4= 378.60715731032894	psi5= 428.42485927784406	psi6= 420.4988118162587	psi7= 396.21561022297203	psi8= 420.5166684498074	psi9= 406.688432939535	
psi1= 356.9465603322478	psi2= 379.3393028469002	psi3= 397.144183068755	psi4= 379.60715731032894	psi5= 429.42485927784406	psi6= 421.4988118162587	psi7= 397.21561022297203	psi8= 421.5166684498074	psi9= 407.688432939535	
psi1= 357.9465603322478	psi2= 380.3393028469002	psi3= 398.144183068755	psi4= 380.60715731032894	psi5= 430.42485927784406	psi6= 422.4988118162587	psi7= 398.21561022297203	psi8= 422.5166684498074	psi9= 408.688432939535	
psi1= 358.9465603322478	psi2= 381.3393028469002	psi3= 399.144183068755	psi4= 381.60715731032894	psi5= 431.42485927784406	psi6= 423.4988118162587	psi7= 399.21561022297203	psi8= 423.5166684498074	psi9= 409.688432939535	
psi1= 359.9465603322478	psi2= 382.3393028469002	psi3= 400.144183068755	psi4= 382.60715731032894	psi5= 432.42485927784406	psi6= 424.4988118162587	psi7= 400.21561022297203	psi8= 424.5166684498074	psi9= 410.688432939535	
psi1= 360.9465603322478	psi2= 383.3393028469002	psi3= 401.144183068755	psi4= 383.60715731032894	psi5= 433.42485927784406	psi6= 425.4988118162587	psi7= 401.21561022297203	psi8= 425.5166684498074	psi9= 411.688432939535	
psi1= 361.9465603322478	psi2= 384.3393028469002	psi3= 402.144183068755	psi4= 384.60715731032894	psi5= 434.42485927784406	psi6= 426.4988118162587	psi7= 402.21561022297203	psi8= 426.5166684498074	psi9= 412.688432939535	
psi1= 362.9465603322478	psi2= 385.3393028469002	psi3= 403.144183068755	psi4= 385.60715731032894	psi5= 435.42485927784406	psi6= 427.4988118162587	psi7= 403.21561022297203	psi8= 427.5166684498074	psi9= 413.688432939535	
