RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 36.59999999999996	v1= 0.4544408142883336	v2= 4.670607857686477
t= 36.79999999999996	v1= 0.4454420943023057	v2= 4.677130395780959
t= 36.99999999999996	v1= 0.4366215646522707	v2= 4.683523776316246
t= 37.19999999999996	v1= 0.4279756968590793	v2= 4.6897905568235245
t= 37.39999999999996	v1= 0.4195010323136178	v2= 4.6959332441936015
t= 37.599999999999966	v1= 0.4111941808932594	v2= 4.701954295678883
t= 37.79999999999997	v1= 0.4030518196057126	v2= 4.707856119875715
t= 37.99999999999997	v1= 0.3950706912597238	v2= 4.71364107768742
t= 38.199999999999974	v1= 0.3872476031621018	v2= 4.719311483268374
t= 38.39999999999997	v1= 0.37957942584054366	v2= 4.724869604949472
t= 38.59999999999997	v1= 0.37206309179175134	v2= 4.730317666145325
t= 38.799999999999976	v1= 0.36469559425433723	v2= 4.735657846243542
t= 38.99999999999998	v1= 0.35747398600602837	v2= 4.740892281476431
t= 39.19999999999998	v1= 0.3503953781846884	v2= 4.74602306577547
t= 39.399999999999984	v1= 0.3434569391326851	v2= 4.751052251608868
t= 39.59999999999999	v1= 0.33665589326414147	v2= 4.755981850802569
t= 39.79999999999998	v1= 0.32998951995461745	v2= 4.760813835344997
t= 39.999999999999986	v1= 0.3234551524527775	v2= 4.76555013817588
t= 40.19999999999999	v1= 0.3190327518136092	v2= 4.77019265395872
t= 40.39999999999999	v1= 0.3186582709131295	v2= 4.774743239839032
t= 40.599999999999994	v1= 0.32225155388701227	v2= 4.779203716187802
t= 40.8	v1= 0.32973403209671664	v2= 4.783575867328909
t= 41.0	v1= 0.3410286926996507	v2= 4.787861442252111
t= 41.199999999999996	v1= 0.3540774728417006	v2= 4.792062155313749
t= 41.4	v1= 0.3668678643994385	v2= 4.796179686923548
t= 41.6	v1= 0.37940498391707594	v2= 4.800215684214169
t= 41.800000000000004	v1= 0.39169384662233336	v2= 4.8041717617004736
t= 42.00000000000001	v1= 0.40373936843268343	v2= 4.808049501924884
t= 42.20000000000001	v1= 0.41554636792186683	v2= 4.811850456089845
t= 42.400000000000006	v1= 0.4271195682474678	v2= 4.8155761446775704
t= 42.60000000000001	v1= 0.43846359904032023	v2= 4.8192280580573295
t= 42.80000000000001	v1= 0.44958299825650055	v2= 4.822807657080442
t= 43.000000000000014	v1= 0.4604822139926474	v2= 4.826316373663193
t= 43.20000000000002	v1= 0.4711656062653351	v2= 4.829755611357851
t= 43.40000000000002	v1= 0.4816374487552125	v2= 4.83312674591194
