RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 50.20000000000008	v1= 0.5172101436671593	v2= 0.20475003765874047
t= 50.400000000000084	v1= 0.5146837738191311	v2= 0.20679059388281307
t= 50.60000000000008	v1= 0.5083734890043681	v2= 0.20859160041365285
t= 50.80000000000008	v1= 0.49842234871693486	v2= 0.2100924193223212
t= 51.000000000000085	v1= 0.484966664060104	v2= 0.21123739925945834
t= 51.20000000000009	v1= 0.4701017319511347	v2= 0.21203053736490196
t= 51.40000000000009	v1= 0.45583213787186017	v2= 0.2125184273375305
t= 51.600000000000094	v1= 0.4421287816194365	v2= 0.212723865717554
t= 51.8000000000001	v1= 0.42896413680829154	v2= 0.21266823030403856
t= 52.00000000000009	v1= 0.4163121621814963	v2= 0.21237156406794513
t= 52.200000000000095	v1= 0.40414821799615225	v2= 0.2118526541832517
t= 52.4000000000001	v1= 0.3924489871909433	v2= 0.2111291064585971
t= 52.6000000000001	v1= 0.3811924010608189	v2= 0.21021741543557534
t= 52.800000000000104	v1= 0.37035756917962387	v2= 0.20913303040444184
t= 53.00000000000011	v1= 0.359924713326424	v2= 0.20789041757351207
t= 53.2000000000001	v1= 0.34987510518535225	v2= 0.20650311861488813
t= 53.400000000000105	v1= 0.34019100760206006	v2= 0.2049838057962906
t= 53.60000000000011	v1= 0.33085561919235723	v2= 0.20334433389665768
t= 53.80000000000011	v1= 0.3218530221103998	v2= 0.2015957890917563
t= 54.000000000000114	v1= 0.31316813279488365	v2= 0.1997485349852932
t= 54.20000000000012	v1= 0.3047866555221586	v2= 0.19781225595087606
t= 54.40000000000012	v1= 0.2966950386050336	v2= 0.19579599794062313
t= 54.600000000000115	v1= 0.28888043308532957	v2= 0.19370820690721974
t= 54.80000000000012	v1= 0.28133065377698796	v2= 0.19155676497773802
t= 55.00000000000012	v1= 0.27403414252479025	v2= 0.18934902450954516
t= 55.200000000000124	v1= 0.2669799335515139	v2= 0.18709184015109476
t= 55.40000000000013	v1= 0.2601576207736748	v2= 0.18479159902330014
t= 55.60000000000013	v1= 0.2535573269729064	v2= 0.1824542491305024
t= 55.80000000000013	v1= 0.24716967471652887	v2= 0.18008532610374545
t= 56.00000000000013	v1= 0.24098575892699162	v2= 0.17768997837313377
t= 56.20000000000013	v1= 0.23499712100564474	v2= 0.17527299086045472
t= 56.400000000000134	v1= 0.22919572442174022	v2= 0.1728388072779763
t= 56.600000000000136	v1= 0.2235739316826898	v2= 0.17039155111436408
t= 56.80000000000014	v1= 0.21812448260644096	v2= 0.1679350453839817
t= 57.00000000000014	v1= 0.21284047382138563	v2= 0.16547283121142886
t= 57.200000000000145	v1= 0.20771533942350878	v2= 0.16300818531901548
t= 57.40000000000014	v1= 0.20274283272452845	v2= 0.16054413648095617
t= 57.60000000000014	v1= 0.1979170090285895	v2= 0.15808348100437866
t= 57.800000000000146	v1= 0.1932322093786662	v2= 0.15562879729376464
t= 58.00000000000015	v1= 0.18868304521721235	v2= 0.1531824595521649
t= 58.20000000000015	v1= 0.18426438390878816	v2= 0.15074665066944523
t= 58.400000000000155	v1= 0.1799713350753986	v2= 0.14832337434491064
t= 58.60000000000015	v1= 0.17579923769811057	v2= 0.14591446648891532
t= 58.80000000000015	v1= 0.1717436479411861	v2= 0.14352160594548413
t= 59.000000000000156	v1= 0.1678003276574838	v2= 0.14114632457553802
t= 59.20000000000016	v1= 0.16396523353625211	v2= 0.13879001673802369
t= 59.40000000000016	v1= 0.1602345068566718	v2= 0.13645394820408785
t= 59.600000000000165	v1= 0.15660446381261012	v2= 0.13413926453740121
t= 59.80000000000017	v1= 0.1530715863760345	v2= 0.13184699897181926
t= 60.00000000000016	v1= 0.149632513668402	v2= 0.12957807981576086
t= 60.200000000000166	v1= 0.14824940881110504	v2= 0.1273883167336513
t= 60.40000000000017	v1= 0.1507999148926493	v2= 0.12537165386321455
t= 60.60000000000017	v1= 0.15713385333270116	v2= 0.12359406294780831
t= 60.800000000000175	v1= 0.1671081742872935	v2= 0.12211619146830474
t= 61.00000000000018	v1= 0.18058657611027548	v2= 0.12099370013502976
t= 61.20000000000018	v1= 0.19547377115239278	v2= 0.1202226009819614
t= 61.400000000000176	v1= 0.20976518301448657	v2= 0.11975630930062747
t= 61.60000000000018	v1= 0.22348992080044736	v2= 0.11957203736148081
t= 61.80000000000018	v1= 0.23667551961890015	v2= 0.11964841599996752
t= 62.000000000000185	v1= 0.24934802927539323	v2= 0.11996541070700949
t= 62.20000000000019	v1= 0.2615320978904996	v2= 0.12050424260133283
t= 62.40000000000019	v1= 0.2732510507356839	v2= 0.12124731400120586
t= 62.60000000000019	v1= 0.2845269645619698	v2= 0.12217813832945909
t= 62.80000000000019	v1= 0.2953807376805939	v2= 0.12328127410102699
t= 63.00000000000019	v1= 0.3058321560398977	v2= 0.12454226275673237
t= 63.200000000000195	v1= 0.31589995552863487	v2= 0.12594757012067948
t= 63.4000000000002	v1= 0.32560188072261026	v2= 0.12748453127147918
t= 63.6000000000002	v1= 0.3349547402790685	v2= 0.1291412986296461
t= 63.8000000000002	v1= 0.34397445917147407	v2= 0.1309067930749235
t= 64.0000000000002	v1= 0.35267612794622616	v2= 0.13277065791804996
t= 64.2000000000002	v1= 0.36107404917239483	v2= 0.13472321556161823
t= 64.4000000000002	v1= 0.3691817812457093	v2= 0.13675542669422924
t= 64.60000000000021	v1= 0.3770121796987423	v2= 0.13885885187114408
