RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 42.20000000000001	v1= 0.26036204853208017	v2= 0.11844099708181426
t= 42.400000000000006	v1= 0.27208700097482524	v2= 0.11901682677160708
t= 42.60000000000001	v1= 0.28336546547381186	v2= 0.11979556748482126
t= 42.80000000000001	v1= 0.2942187663075083	v2= 0.12076071819044393
t= 43.000000000000014	v1= 0.3046670784013915	v2= 0.12189683170174956
t= 43.20000000000002	v1= 0.3147294924379883	v2= 0.12318945145749721
t= 43.40000000000002	v1= 0.32442407621083014	v2= 0.12462505202176505
t= 43.60000000000002	v1= 0.33376793244037983	v2= 0.12619098308510404
t= 43.80000000000002	v1= 0.34277725325730374	v2= 0.12787541676236527
t= 44.00000000000002	v1= 0.3514673715465132	v2= 0.12966729799448887
t= 44.200000000000024	v1= 0.3598528093341472	v2= 0.13155629787278134
t= 44.40000000000003	v1= 0.36794732338907027	v2= 0.13353276971479175
t= 44.60000000000003	v1= 0.37576394820047954	v2= 0.1355877077308638
t= 44.80000000000003	v1= 0.38331503648381515	v2= 0.13771270812982714
t= 45.000000000000036	v1= 0.39061229735831643	v2= 0.13989993252113075
t= 45.20000000000003	v1= 0.39766683233122907	v2= 0.1421420734790445
t= 45.400000000000034	v1= 0.40448916921581723	v2= 0.14443232214239457
t= 45.60000000000004	v1= 0.4110892941029402	v2= 0.14676433773068034
t= 45.80000000000004	v1= 0.4174766814989891	v2= 0.14913221886437233
t= 46.00000000000004	v1= 0.4236603227364208	v2= 0.15153047658373717
t= 46.200000000000045	v1= 0.42964875275694964	v2= 0.1539540089667014
t= 46.40000000000005	v1= 0.4354500753616395	v2= 0.15639807725207094
t= 46.600000000000044	v1= 0.44107198701666145	v2= 0.1588582833798916
t= 46.80000000000005	v1= 0.44652179929832153	v2= 0.16133054886588358
t= 47.00000000000005	v1= 0.4518064600561045	v2= 0.1638110949317327
t= 47.20000000000005	v1= 0.456932573367902	v2= 0.16629642381758647
t= 47.400000000000055	v1= 0.46190641835728496	v2= 0.16878330120740323
t= 47.60000000000006	v1= 0.466733966938619	v2= 0.17126873970185202
t= 47.800000000000054	v1= 0.4714209005519996	v2= 0.1737499832772738
t= 48.00000000000006	v1= 0.47597262594638323	v2= 0.1762244926728055
